name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Mıhlama (Rize),"cornmeal, butter, cheese",vegetarian,42,28,-1,main course,Bartın,Karadeniz
Kuymak (Trabzon),"cornmeal, butter, cheese",vegetarian,9,90,-1,main course,Trabzon,Karadeniz
Peruhi (Erzurum),"flour, egg, yogurt, butter",vegetarian,8,29,-1,main course,Bitlis,Doğu Anadolu
Ciğer Tava (Edirne),"liver, flour, oil, salt",non vegetarian,7,110,spicy,main course,Bursa,Marmara
Paça Çorbası,"trotter, garlic, vinegar",non vegetarian,9,65,-1,soup,Çanakkale,Marmara
İşkembe Çorbası,"tripe, garlic, vinegar",non vegetarian,22,85,-1,soup,Kocaeli,Marmara
Kelle Paça Çorbası,"head meat, garlic, vinegar",non vegetarian,18,69,-1,soup,Kilis,Güneydoğu
Kuzu Kapama,"lamb, peas, dill, butter",non vegetarian,51,119,-1,main course,Edirne,Marmara
Karnabahar Musakka,"cauliflower, tomato, onion, olive oil",vegetarian,20,100,-1,main course,Yalova,Marmara
Zeytinyağlı Fasulye,"green beans, tomato, onion, olive oil",vegetarian,56,52,-1,main course,Afyonkarahisar,Ege
Fava,"broad beans, olive oil, dill, lemon",vegetarian,11,12,-1,starter,Manisa,Ege
Cacık,"yogurt, cucumber, garlic, mint",vegetarian,27,54,-1,starter,Tekirdağ,Marmara
Kuru Fasulye (odun fırın),"beans, onion, tomato paste, butter",vegetarian,45,45,spicy,main course,Karaman,İç Anadolu
Islak Hamburger (sarımsaklı),"ground beef, burger bun, garlic, tomato paste, butter",non vegetarian,29,99,sweet,starter,Şanlıurfa,Güneydoğu
Pilav (Pirinç) (zeytinyağlı),"rice, butter, orzo, salt",vegetarian,57,107,sweet,dessert,Denizli,Ege
Bamya (bol sebzeli),"okra, tomato, onion, olive oil",vegetarian,43,5,spicy,dessert,İstanbul,Marmara
Kuru Fasulye (sarımsaklı),"beans, onion, tomato paste, butter",vegetarian,38,34,bitter,main course,Aksaray,İç Anadolu
Mantı (zeytinyağlı),"flour, ground beef, onion, yogurt, butter",non vegetarian,22,7,sour,bread,Sivas,İç Anadolu
Pişi (odun fırın),"flour, yeast, yogurt, oil, salt",vegetarian,64,30,-1,main course,Hatay,Akdeniz
Künefe (bol sebzeli),"kadayıf, unsalted cheese, butter, syrup, pistachio",vegetarian,14,45,-1,snack,Çorum,Karadeniz
Dolma (Zeytinyağlı) (ev usulü),"vine leaves, rice, onion, currants, pine nuts, olive oil",vegetarian,58,12,-1,dessert,Diyarbakır,Güneydoğu
Antakya Tepsi Kebabı (mevsimlik),"ground meat, onion, pepper paste, chili flakes, parsley",non vegetarian,24,121,-1,main course,Bartın,Karadeniz
Mıhlama (Rize) (ızgara),"cornmeal, butter, cheese",vegetarian,47,25,sour,starter,Amasya,Karadeniz
Malatya Kayısılı Tatlı (fırında),"dried apricot, walnut, sugar, butter",vegetarian,26,34,bitter,salad,Kayseri,İç Anadolu
Kuru Mantı (Sivas) (ev usulü),"flour, egg, minced meat, butter, yogurt",non vegetarian,18,52,-1,starter,Giresun,Karadeniz
Kazandibi (ızgara),"milk, sugar, starch, butter, cinnamon",vegetarian,48,50,sour,snack,Kocaeli,Marmara
Kelle Paça Çorbası (bol sebzeli),"head meat, garlic, vinegar",non vegetarian,17,67,sour,dessert,Antalya,Akdeniz
Biber Dolması (acı biberli),"bell pepper, rice, onion, tomato, olive oil",vegetarian,11,70,sour,soup,Sakarya,Marmara
Islak Hamburger (bol sebzeli),"ground beef, burger bun, garlic, tomato paste, butter",non vegetarian,16,97,bitter,soup,Denizli,Ege
Kilis Tava (odun fırın),"ground meat, pepper, tomato",non vegetarian,32,25,spicy,salad,Sivas,İç Anadolu
Malatya Kayısılı Tatlı (bol sebzeli),"dried apricot, walnut, sugar, butter",vegetarian,27,36,bitter,main course,Afyonkarahisar,Ege
Kilis Tava (odun fırın) (bol sebzeli),"ground meat, pepper, tomato",non vegetarian,31,28,spicy,salad,Kars,Doğu Anadolu
Tahini Piyaz (ızgara),"beans, tahini, lemon, garlic, olive oil",vegetarian,44,54,spicy,salad,Balıkesir,Marmara
Kete (ızgara),"flour, butter, sugar, milk",vegetarian,29,75,-1,bread,Erzincan,Doğu Anadolu
Kelle Paça Çorbası (bol sebzeli) (tereyağlı),"head meat, garlic, vinegar",non vegetarian,22,82,spicy,snack,Muğla,Ege
Kuru Fasulye (fırında),"beans, onion, tomato paste, butter",vegetarian,45,23,sweet,dessert,Mardin,Güneydoğu
Kazandibi (ızgara) (sarımsaklı),"milk, sugar, starch, butter, cinnamon",vegetarian,52,65,bitter,salad,Eskişehir,İç Anadolu
Biber Dolması (acı biberli) (odun fırın),"bell pepper, rice, onion, tomato, olive oil",vegetarian,16,68,sweet,bread,Manisa,Ege
Kelle Paça Çorbası (bol sebzeli) (ızgara),"head meat, garlic, vinegar",non vegetarian,22,57,-1,bread,Balıkesir,Marmara
Biber Dolması (mevsimlik),"bell pepper, rice, onion, tomato, olive oil",vegetarian,8,67,sour,main course,Mersin,Akdeniz
Mercimek Çorbası (tereyağlı),"red lentils, onion, carrot, butter",vegetarian,55,121,-1,dessert,Burdur,Akdeniz
Pişi (tereyağlı),"flour, yeast, yogurt, oil, salt",vegetarian,65,42,spicy,starter,Antalya,Akdeniz
Pide (Kıymalı) (mevsimlik),"flour, yeast, ground beef, tomato, pepper",non vegetarian,54,99,sour,dessert,Malatya,Doğu Anadolu
Çiğ Köfte (Etsiz) (ızgara),"bulgur, isot pepper, tomato paste, pomegranate molasses",vegetarian,40,97,bitter,soup,Elazığ,Doğu Anadolu
Malatya Kayısılı Tatlı (fırında) (acı biberli),"dried apricot, walnut, sugar, butter",vegetarian,33,41,-1,soup,Elazığ,Doğu Anadolu
Mantı (sarımsaklı),"flour, ground beef, onion, yogurt, butter",non vegetarian,21,17,bitter,salad,Isparta,Akdeniz
Kilis Tava (odun fırın) (bol sebzeli),"ground meat, pepper, tomato",non vegetarian,29,24,bitter,snack,Ağrı,Doğu Anadolu
Kuymak (Trabzon) (fırında),"cornmeal, butter, cheese",vegetarian,8,80,sweet,starter,Kocaeli,Marmara
Karnıyarık (mevsimlik),"eggplant, ground beef, onion, tomato, pepper",non vegetarian,57,74,spicy,beverage,Afyonkarahisar,Ege
Menemen (tereyağlı),"tomato, pepper, egg, olive oil, salt",vegetarian,47,14,bitter,bread,Iğdır,Doğu Anadolu
Etli Ekmek (tereyağlı),"thin dough, ground meat, tomato, pepper, parsley",non vegetarian,31,32,sweet,snack,Şanlıurfa,Güneydoğu
Kuru Cacık (zeytinyağlı),"yogurt, cucumber, mint, garlic",vegetarian,63,95,sweet,beverage,Şanlıurfa,Güneydoğu
Kilis Tava (odun fırın) (tereyağlı),"ground meat, pepper, tomato",non vegetarian,32,38,-1,beverage,Amasya,Karadeniz
Biber Dolması (acı biberli) (odun fırın) (sarımsaklı),"bell pepper, rice, onion, tomato, olive oil",vegetarian,18,66,sour,beverage,Sivas,İç Anadolu
Islak Hamburger (bol sebzeli) (sarımsaklı),"ground beef, burger bun, garlic, tomato paste, butter",non vegetarian,21,104,sour,salad,Balıkesir,Marmara
Arabaşı Çorbası (sarımsaklı),"chicken, flour dough, chili, butter",non vegetarian,61,48,bitter,snack,Muğla,Ege
Mıhlama (Rize) (ızgara) (bol sebzeli),"cornmeal, butter, cheese",vegetarian,43,21,bitter,bread,Yozgat,İç Anadolu
Malatya Kayısılı Tatlı (fırında) (odun fırın),"dried apricot, walnut, sugar, butter",vegetarian,36,24,-1,bread,Kırıkkale,İç Anadolu
Kelle Paça Çorbası (tereyağlı),"head meat, garlic, vinegar",non vegetarian,28,66,-1,starter,Kahramanmaraş,Akdeniz
Kuzu Tandır (odun fırın),"lamb, salt, thyme",non vegetarian,27,20,bitter,salad,Aksaray,İç Anadolu
Ayvalık Tostu (acı biberli),"toast bread, sucuk, kaşar cheese, pickles, ketchup",non vegetarian,21,51,-1,main course,Kilis,Güneydoğu
Ayvalık Tostu (acı biberli) (ev usulü),"toast bread, sucuk, kaşar cheese, pickles, ketchup",non vegetarian,30,46,bitter,snack,Erzurum,Doğu Anadolu
Tantuni (ızgara),"beef, lavash, onion, tomato, sumac",non vegetarian,27,29,sweet,beverage,Kahramanmaraş,Akdeniz
Islak Hamburger (sarımsaklı) (fırında),"ground beef, burger bun, garlic, tomato paste, butter",non vegetarian,24,112,spicy,beverage,Kahramanmaraş,Akdeniz
Islak Hamburger (bol sebzeli) (sarımsaklı) (sarımsaklı),"ground beef, burger bun, garlic, tomato paste, butter",non vegetarian,16,101,spicy,main course,Çanakkale,Marmara
Gözleme (Patatesli) (mevsimlik),"dough, potato, onion, pepper",vegetarian,28,53,sweet,starter,Gaziantep,Güneydoğu
Kaygana (zeytinyağlı),"egg, flour, green onions, parsley",vegetarian,49,106,sour,salad,Sinop,Karadeniz
Kaygana (fırında),"egg, flour, green onions, parsley",vegetarian,53,105,spicy,main course,Diyarbakır,Güneydoğu
Kuru Fasulye (odun fırın) (sarımsaklı),"beans, onion, tomato paste, butter",vegetarian,43,57,spicy,starter,Karaman,İç Anadolu
Höşmerim (mevsimlik),"unsalted cheese, semolina, sugar, butter",vegetarian,61,104,spicy,salad,Şanlıurfa,Güneydoğu
Fava (ızgara),"broad beans, olive oil, dill, lemon",vegetarian,21,5,spicy,bread,Sakarya,Marmara
Kelle Paça Çorbası (bol sebzeli) (acı biberli),"head meat, garlic, vinegar",non vegetarian,20,76,bitter,snack,Osmaniye,Akdeniz
Biber Dolması (acı biberli) (odun fırın) (sarımsaklı) (zeytinyağlı),"bell pepper, rice, onion, tomato, olive oil",vegetarian,23,63,bitter,soup,Kilis,Güneydoğu
Ankara Tava (sarımsaklı),"meat, orzo, butter, broth",non vegetarian,12,84,bitter,bread,Osmaniye,Akdeniz
Pide (Kıymalı) (mevsimlik) (acı biberli),"flour, yeast, ground beef, tomato, pepper",non vegetarian,60,114,bitter,starter,Siirt,Güneydoğu
Kokoreç (mevsimlik),"lamb intestines, oregano, chili, bread",non vegetarian,6,68,sour,main course,Isparta,Akdeniz
Akçaabat Köfte (zeytinyağlı),"ground beef, garlic, bread crumbs",non vegetarian,47,126,-1,starter,Elazığ,Doğu Anadolu
Pişi (tereyağlı) (ev usulü),"flour, yeast, yogurt, oil, salt",vegetarian,72,54,sour,starter,Ankara,İç Anadolu
Hamsili Pilav (zeytinyağlı),"anchovy, rice, currants, pine nuts",non vegetarian,68,93,-1,salad,Burdur,Akdeniz
Mıhlama (Rize) (ızgara) (bol sebzeli) (zeytinyağlı),"cornmeal, butter, cheese",vegetarian,46,18,sour,soup,Burdur,Akdeniz
Cağ Kebabı (ızgara),"lamb, tail fat, salt",non vegetarian,10,83,spicy,snack,Ağrı,Doğu Anadolu
Biber Dolması (mevsimlik) (ev usulü),"bell pepper, rice, onion, tomato, olive oil",vegetarian,10,68,sweet,soup,Isparta,Akdeniz
Tarhana Çorbası (bol sebzeli),"tarhana, water, butter, mint",vegetarian,38,52,sweet,soup,Antalya,Akdeniz
Malatya Kayısılı Tatlı (fırında) (odun fırın) (zeytinyağlı),"dried apricot, walnut, sugar, butter",vegetarian,40,29,spicy,main course,Mersin,Akdeniz
Kelle Paça Çorbası (bol sebzeli) (ızgara) (acı biberli),"head meat, garlic, vinegar",non vegetarian,32,50,spicy,soup,Yozgat,İç Anadolu
Tahini Piyaz (ev usulü),"beans, tahini, lemon, garlic, olive oil",vegetarian,42,37,-1,main course,Aksaray,İç Anadolu
Ayvalık Tostu (acı biberli) (sarımsaklı),"toast bread, sucuk, kaşar cheese, pickles, ketchup",non vegetarian,23,65,spicy,bread,Adana,Akdeniz
Menemen (tereyağlı) (zeytinyağlı),"tomato, pepper, egg, olive oil, salt",vegetarian,51,22,sour,bread,Aksaray,İç Anadolu
Pide (Kıymalı) (mevsimlik) (acı biberli) (sarımsaklı),"flour, yeast, ground beef, tomato, pepper",non vegetarian,57,109,sweet,soup,Bursa,Marmara
Akçaabat Köfte (acı biberli),"ground beef, garlic, bread crumbs",non vegetarian,46,128,spicy,bread,Aydın,Ege
Kuru Fasulye (odun fırın) (sarımsaklı) (odun fırın),"beans, onion, tomato paste, butter",vegetarian,47,69,sweet,soup,Sivas,İç Anadolu
Tahini Piyaz (ızgara) (fırında),"beans, tahini, lemon, garlic, olive oil",vegetarian,52,47,-1,starter,Kocaeli,Marmara
Arabaşı Çorbası (sarımsaklı) (fırında),"chicken, flour dough, chili, butter",non vegetarian,57,43,sweet,dessert,Muğla,Ege
Pekmezli Helva (zeytinyağlı),"tahini, pekmez, flour, butter",vegetarian,21,103,spicy,beverage,Bayburt,Karadeniz
Künefe (bol sebzeli) (zeytinyağlı),"kadayıf, unsalted cheese, butter, syrup, pistachio",vegetarian,22,58,spicy,main course,Osmaniye,Akdeniz
Bostana Salatası (odun fırın),"tomato, cucumber, onion, isot, pomegranate molasses",vegetarian,14,22,spicy,starter,Artvin,Karadeniz
Pide (Kıymalı) (mevsimlik) (acı biberli) (sarımsaklı) (mevsimlik),"flour, yeast, ground beef, tomato, pepper",non vegetarian,67,115,spicy,snack,Batman,Güneydoğu
Tarhana Çorbası (bol sebzeli) (acı biberli),"tarhana, water, butter, mint",vegetarian,48,44,-1,bread,Sivas,İç Anadolu
Kazandibi (ızgara) (sarımsaklı) (ızgara),"milk, sugar, starch, butter, cinnamon",vegetarian,52,65,sour,dessert,Kahramanmaraş,Akdeniz
Antakya Tepsi Kebabı (mevsimlik) (fırında),"ground meat, onion, pepper paste, chili flakes, parsley",non vegetarian,33,113,bitter,main course,Tunceli,Doğu Anadolu
Katmer (Antep) (ev usulü),"phyllo, pistachio, kaymak, sugar",vegetarian,42,118,bitter,main course,Burdur,Akdeniz
Adana Kebap (mevsimlik),"ground lamb, tail fat, chili, salt",non vegetarian,49,49,bitter,beverage,Uşak,Ege
Söğüş (İzmir) (fırında),"cold sliced head meat, tomato, onion",non vegetarian,26,102,bitter,beverage,Samsun,Karadeniz
Pişi (tereyağlı) (ev usulü) (acı biberli),"flour, yeast, yogurt, oil, salt",vegetarian,80,46,sour,main course,Bartın,Karadeniz
Yayla Çorbası (zeytinyağlı),"yogurt, rice, mint, butter",vegetarian,22,49,spicy,snack,Şanlıurfa,Güneydoğu
Ayva Tatlısı (tereyağlı),"quince, sugar, cloves, kaymak",vegetarian,42,25,bitter,beverage,Artvin,Karadeniz
Malatya Kayısılı Tatlı (fırında) (odun fırın) (sarımsaklı),"dried apricot, walnut, sugar, butter",vegetarian,33,22,-1,snack,Kütahya,Ege
Mıhlama (Rize) (ızgara) (odun fırın),"cornmeal, butter, cheese",vegetarian,57,19,sour,soup,Isparta,Akdeniz
Malatya Kayısılı Tatlı (bol sebzeli) (ızgara),"dried apricot, walnut, sugar, butter",vegetarian,36,36,sour,bread,Çorum,Karadeniz
Ot Kavurması (mevsimlik),"Aegean greens, olive oil, garlic, pepper, salt",vegetarian,68,15,bitter,starter,Ağrı,Doğu Anadolu
Kilis Tava (tereyağlı),"ground meat, pepper, tomato",non vegetarian,43,6,bitter,snack,Tunceli,Doğu Anadolu
Helle Çorbası (ev usulü),"yogurt, flour, egg, mint",vegetarian,29,20,bitter,dessert,Gümüşhane,Karadeniz
Katmer (Antep) (ev usulü) (acı biberli),"phyllo, pistachio, kaymak, sugar",vegetarian,45,118,spicy,beverage,Kütahya,Ege
Kokoreç (mevsimlik) (ev usulü),"lamb intestines, oregano, chili, bread",non vegetarian,11,78,sour,bread,Elazığ,Doğu Anadolu
Antakya Tepsi Kebabı (mevsimlik) (fırında) (bol sebzeli),"ground meat, onion, pepper paste, chili flakes, parsley",non vegetarian,35,123,spicy,dessert,Kilis,Güneydoğu
Tahini Piyaz (ızgara) (fırında) (ev usulü),"beans, tahini, lemon, garlic, olive oil",vegetarian,50,51,bitter,dessert,Hatay,Akdeniz
Ayvalık Tostu (odun fırın),"toast bread, sucuk, kaşar cheese, pickles, ketchup",non vegetarian,10,42,spicy,salad,Van,Doğu Anadolu
Kuzu Kapama (acı biberli),"lamb, peas, dill, butter",non vegetarian,51,114,sweet,bread,Kahramanmaraş,Akdeniz
Kazandibi (mevsimlik),"milk, sugar, starch, butter, cinnamon",vegetarian,38,40,sweet,beverage,Tekirdağ,Marmara
Kelle Paça Çorbası (bol sebzeli) (tereyağlı) (zeytinyağlı),"head meat, garlic, vinegar",non vegetarian,31,81,sour,main course,Van,Doğu Anadolu
Akçaabat Köfte (acı biberli) (ev usulü),"ground beef, garlic, bread crumbs",non vegetarian,50,138,bitter,salad,Zonguldak,Karadeniz
Kuru Mantı (Sivas) (ev usulü) (zeytinyağlı),"flour, egg, minced meat, butter, yogurt",non vegetarian,25,57,sour,starter,Van,Doğu Anadolu
Laz Böreği (mevsimlik),"phyllo, custard, butter, syrup",vegetarian,19,47,sour,soup,Kütahya,Ege
Kelle Paça Çorbası (bol sebzeli) (ızgara) (acı biberli) (odun fırın),"head meat, garlic, vinegar",non vegetarian,42,49,-1,main course,Sivas,İç Anadolu
Antakya Tepsi Kebabı (mevsimlik) (fırında) (bol sebzeli) (mevsimlik),"ground meat, onion, pepper paste, chili flakes, parsley",non vegetarian,36,132,sour,starter,Mardin,Güneydoğu
Şakşuka (acı biberli),"eggplant, pepper, tomato, garlic",vegetarian,18,62,spicy,main course,Ardahan,Doğu Anadolu
Islak Hamburger (bol sebzeli) (acı biberli),"ground beef, burger bun, garlic, tomato paste, butter",non vegetarian,21,110,spicy,soup,Çanakkale,Marmara
Mıhlama (Rize) (ızgara) (acı biberli),"cornmeal, butter, cheese",vegetarian,50,20,-1,salad,Manisa,Ege
Çökertme Kebabı (fırında),"beef strips, potato, yogurt, butter, tomato sauce",non vegetarian,48,91,sour,dessert,Kilis,Güneydoğu
Lahmacun (Antep) (tereyağlı),"dough, ground meat, tomato, pepper, parsley",non vegetarian,16,130,-1,salad,Mardin,Güneydoğu
Mantı (zeytinyağlı) (bol sebzeli),"flour, ground beef, onion, yogurt, butter",non vegetarian,28,18,spicy,beverage,Balıkesir,Marmara
Mıhlama (Rize) (ızgara) (odun fırın) (mevsimlik),"cornmeal, butter, cheese",vegetarian,55,30,bitter,salad,Van,Doğu Anadolu
